reference sequences,length,mapped,unmapped
Mito,85779,93686,0
*,0,0,45135890
eIFG1-Total-1,,,
I,230218,625292,0
II,813184,1327616,0
III,316620,786606,0
IV,1531933,1683569,0
V,576874,1381931,0
VI,270161,376316,0
VII,1090940,2158699,0
VIII,562643,999214,0
IX,439888,386016,0
X,745751,1130462,0
XI,666816,1436818,0
XII,1078177,2484644,0
XIII,924431,1342695,0
XIV,784333,956238,0
XV,1091291,1739906,0
XVI,948066,1094266,0
Mito,85779,114381,0
*,0,0,65898613
eIFG1-Total-2,,,
I,230218,175976,0
II,813184,305784,0
III,316620,214815,0
IV,1531933,366935,0
V,576874,320337,0
VI,270161,84770,0
VII,1090940,563477,0
VIII,562643,267553,0
IX,439888,86540,0
X,745751,342286,0
XI,666816,417042,0
XII,1078177,698497,0
XIII,924431,316193,0
XIV,784333,223720,0
XV,1091291,397014,0
XVI,948066,241481,0
Mito,85779,24693,0
*,0,0,16665295
eIFG1-Total-3,,,
I,230218,314538,0
II,813184,1114773,0
III,316620,349772,0
IV,1531933,928877,0
V,576874,848198,0
VI,270161,181977,0
VII,1090940,1125568,0
VIII,562643,516256,0
IX,439888,206652,0
X,745751,889702,0
XI,666816,834992,0
XII,1078177,1644528,0
XIII,924431,883577,0
XIV,784333,556085,0
XV,1091291,924928,0
XVI,948066,570021,0
Mito,85779,93686,0
*,0,0,45135890
eIF4G2-IP-1,,,
I,230218,181289,0
II,813184,675018,0
III,316620,274983,0
IV,1531933,832935,0
V,576874,449123,0
VI,270161,158204,0
VII,1090940,933528,0
VIII,562643,398943,0
IX,439888,200713,0
X,745751,621502,0
XI,666816,540964,0
XII,1078177,954263,0
XIII,924431,783011,0
XIV,784333,474688,0
XV,1091291,751257,0
XVI,948066,499247,0
Mito,85779,19349,0
*,0,0,26350538
eIF4G2-IP-2,,,
I,230218,297769,0
II,813184,1028539,0
III,316620,463964,0
IV,1531933,1441913,0
V,576874,685721,0
VI,270161,258217,0
VII,1090940,1439977,0
VIII,562643,611544,0
IX,439888,321469,0
X,745751,778667,0
XI,666816,875775,0
XII,1078177,1532361,0
XIII,924431,1115335,0
XIV,784333,814615,0
XV,1091291,1153202,0
XVI,948066,809677,0
Mito,85779,32699,0
*,0,0,84668150
eIF4G2-IP-3,,,
I,230218,649219,0
II,813184,2463427,0
III,316620,991239,0
IV,1531933,3451208,0
V,576874,1649523,0
VI,270161,594831,0
VII,1090940,3287531,0
VIII,562643,1503105,0
IX,439888,760189,0
X,745751,1789073,0
XI,666816,1970236,0
XII,1078177,3536743,0
XIII,924431,2455812,0
XIV,784333,1864096,0
XV,1091291,2744661,0
XVI,948066,1956331,0
Mito,85779,80284,0
*,0,0,49832366
eIF4G2-Total-1,,,
I,230218,247744,0
II,813184,574017,0
III,316620,368953,0
IV,1531933,709104,0
V,576874,698217,0
VI,270161,148776,0
VII,1090940,966287,0
VIII,562643,488811,0
IX,439888,153838,0
X,745751,595271,0
XI,666816,785593,0
XII,1078177,1184891,0
XIII,924431,682739,0
XIV,784333,394163,0
XV,1091291,805264,0
XVI,948066,475465,0
Mito,85779,50967,0
*,0,0,30132092
eIF4G2-Total-2,,,
I,230218,102440,0
II,813184,278567,0
III,316620,145017,0
IV,1531933,305519,0
V,576874,276312,0
VI,270161,64202,0
VII,1090940,405350,0
VIII,562643,195228,0
IX,439888,60603,0
X,745751,311035,0
XI,666816,295551,0
XII,1078177,496770,0
XIII,924431,295568,0
XIV,784333,178963,0
XV,1091291,313950,0
XVI,948066,201620,0
Mito,85779,36121,0
*,0,0,74920586
eIF4G2-Total-3,,,
I,230218,180241,0
II,813184,569509,0
III,316620,261563,0
IV,1531933,685470,0
V,576874,715852,0
VI,270161,122896,0
VII,1090940,785100,0
VIII,562643,353966,0
IX,439888,134753,0
X,745751,506396,0
XI,666816,606130,0
XII,1078177,991162,0
XIII,924431,587414,0
XIV,784333,391076,0
XV,1091291,620806,0
XVI,948066,432007,0
Mito,85779,82290,0
*,0,0,94271693
Pab1-IP-1,,,
I,230218,164812,0
II,813184,534937,0
III,316620,210928,0
IV,1531933,715142,0
V,576874,637534,0
VI,270161,125786,0
VII,1090940,828865,0
VIII,562643,386451,0
IX,439888,197023,0
X,745751,393895,0
XI,666816,539399,0
XII,1078177,933619,0
XIII,924431,522417,0
XIV,784333,337542,0
XV,1091291,638830,0
XVI,948066,403420,0
Mito,85779,22786,0
*,0,0,64528534
Pab1-IP-2,,,
I,230218,306986,0
II,813184,892421,0
III,316620,340772,0
IV,1531933,1444659,0
V,576874,1198589,0
VI,270161,209046,0
VII,1090940,1454212,0
VIII,562643,671063,0
IX,439888,355579,0
X,745751,699516,0
XI,666816,900534,0
XII,1078177,1786644,0
XIII,924431,918519,0
XIV,784333,643847,0
XV,1091291,1120455,0
XVI,948066,780939,0
Mito,85779,57852,0
*,0,0,57587342
Pab1-IP-3,,,
I,230218,436321,0
II,813184,1290541,0
III,316620,515675,0
IV,1531933,1880243,0
V,576874,1564391,0
VI,270161,311613,0
VII,1090940,2022007,0
VIII,562643,957460,0
IX,439888,493904,0
X,745751,990165,0
XI,666816,1358556,0
XII,1078177,2426034,0
XIII,924431,1273557,0
XIV,784333,832929,0
XV,1091291,1568446,0
XVI,948066,1038273,0
Mito,85779,54374,0
*,0,0,59377173
Pab1-Total-1,,,
I,230218,116846,0
II,813184,389172,0
III,316620,136478,0
IV,1531933,419878,0
V,576874,636659,0
VI,270161,71055,0
VII,1090940,519750,0
VIII,562643,217173,0
IX,439888,97056,0
X,745751,474070,0
XI,666816,323647,0
XII,1078177,658337,0
XIII,924431,449359,0
XIV,784333,287071,0
XV,1091291,433485,0
XVI,948066,262997,0
Mito,85779,128982,0
*,0,0,63931247
Pab1-Total-2,,,
I,230218,98029,0
II,813184,375477,0
III,316620,112510,0
IV,1531933,372548,0
V,576874,514859,0
VI,270161,60528,0
VII,1090940,437262,0
VIII,562643,176855,0
IX,439888,85902,0
X,745751,454051,0
XI,666816,266072,0
XII,1078177,540761,0
XIII,924431,407520,0
XIV,784333,249010,0
XV,1091291,361362,0
XVI,948066,236315,0
Mito,85779,156190,0
*,0,0,83545176
Pab1-Total-3,,,
I,230218,111719,0
II,813184,377883,0
III,316620,115798,0
IV,1531933,428021,0
V,576874,599292,0
VI,270161,64876,0
VII,1090940,488557,0
VIII,562643,201431,0
IX,439888,96602,0
X,745751,473460,0
XI,666816,285845,0
XII,1078177,623426,0
XIII,924431,436006,0
XIV,784333,275234,0
XV,1091291,404448,0
XVI,948066,266858,0
Mito,85779,187875,0
*,0,0,78629133
