1A,1B,1C,2,← Groups from AD normalisation
,,,,
YHL035C,YBR189W,YIL088C,YFL009W,
YHR012W,YBR191W,YIL089W,YFL023W,
YHR015W,YBR193C,YIL132C,YFL025C,
YHR030C,YBR195C,YIL158W,YFR014C,
YHR038W,YBR196C-A,YIL161W,YFR027W,
YHR050W-A,YBR196C-B,YIR025W,YFR034C,
YHR052W,YBR197C,YJL047C-A,YFR049W,
YHR069C-A,YBR199W,YJL049W,YGL005C,
YHR071W,YBR201C-A,YJL066C,YGL023C,
YHR081W,YBR201W,YJL091C,YGL036W,
YHR085W,YBR204C,YJL103C,YGL044C,
YHR091C,YBR206W,YJL132W,YGL060W,
YHR094C,YBR210W,YJL139C,YGL065C,
YHR096C,YBR211C,YJL141C,YGL094C,
YHR108W,YBR213W,YJL178C,YGL096W,
YHR127W,YBR217W,YJL186W,YGL107C,
YHR130C,YBR220C,YJL190C,YGL142C,
YHR133C,YBR221C,YJL199C,YGL143C,
YHR169W,YBR222C,YJL204C,YGL147C,
YHR170W,YBR223C,YJL209W,YGL209W,
YHR182W,YBR228W,YJR004C,YGL232W,
YHR197W,YBR230C,YJR010C-A,YGR001C,
YHR211W,YBR230W-A,YJR013W,YGR006W,
YIL021W,YBR231C,YJR039W,YGR009C,
YIL022W,YBR233W-A,YJR076C,YGR046W,
YIL046W,YBR234C,YJR082C,YGR065C,
YIL056W,YBR240C,YJR084W,YGR086C,
YIL061C,YBR241C,YJR107W,YGR108W,
YIL063C,YBR242W,YJR115W,YGR125W,
YIL070C,YBR243C,YJR135C,YGR126W,
YIL093C,YBR244W,YKL004W,YGR149W,
YIL102C-A,YBR246W,YKL021C,YGR156W,
YIL105C,YBR249C,YKL023C-A,YGR159C,
YIL107C,YBR250W,YKL027W,YGR169C-A,
YIL130W,YBR252W,YKL039W,YGR179C,
YIL139C,YBR254C,YKL060C,YGR186W,
YIL159W,YBR255C-A,YKL063C,YGR189C,
YIL162W,YBR256C,YKL089W,YGR199W,
YIR008C,YBR257W,YKL163W,YGR202C,
YIR014W,YBR258C,YKL168C,YGR233C,
YIR015W,YBR261C,YKL174C,YGR234W,
YIR019C,YBR262C,YKL175W,YGR252W,
YIR027C,YBR264C,YKL176C,YGR253C,
YJL003W,YBR265W,YKL195W,YGR254W,
YJL070C,YBR268W,YKL213C,YGR287C,
YJL081C,YBR269C,YKL218C,YGR295C,
YJL089W,YBR271W,YKR014C,YHL008C,
YJL096W,YBR274W,YKR016W,YHL009C,
YJL101C,YBR276C,YKR022C,YHL013C,
YJL102W,YBR283C,YKR030W,YHL016C,
YJL125C,YBR285W,YKR035W-A,YHL019W-A,
YJL131C,YBR288C,YKR053C,YHR001W-A,
YJL147C,YBR291C,YKR058W,YHR006W,
