1,2A,2B,2C,3A,3B
YML038C,,YDR100W,YHR072W,YDR291W,YGR218W
YML052W,,YDR134C,YHR074W,YDR293C,YGR234W
YML077W,,YDR152W,YHR076W,YDR294C,YGR240C
YML081W,,YDR154C,YHR092C,YDR301W,YGR244C
YML088W,,YDR155C,YHR115C,YDR303C,YGR264C
YML099C,,YDR156W,YHR122W,YDR310C,YGR285C
YMR042W,,YDR160W,YHR128W,YDR324C,YHL002W
YMR061W,,YDR174W,YHR146W,YDR326C,YHL011C
YMR080C,,YDR178W,YHR174W,YDR337W,YHL039W
YMR089C,,YDR182W,YHR183W,YDR338C,YHR001W
YMR104C,,YDR186C,YHR190W,YDR348C,YHR007C
YMR135C,,YDR196C,YHR203C,YDR351W,YHR013C
YMR145C,,YDR204W,YHR208W,YDR358W,YHR018C
YMR161W,,YDR210W,YIL018W,YDR362C,YHR019C
YMR162C,,YDR214W,YIL033C,YDR375C,YHR027C
YMR210W,,YDR224C,YIL034C,YDR389W,YHR047C
YMR222C,,YDR225W,YIL039W,YDR394W,YHR063C
YMR263W,,YDR226W,YIL041W,YDR395W,YHR065C
YMR272C,,YDR231C,YIL053W,YDR399W,YHR070W
YMR273C,,YDR232W,YIL076W,YDR405W,YHR097C
YMR282C,,YDR233C,YIL083C,YDR407C,YHR108W
YMR293C,,YDR248C,YIL088C,YDR422C,YHR113W
YNL005C,,YDR260C,YIL094C,YDR430C,YHR132C
YNL029C,,YDR272W,YIL117C,YDR436W,YHR170W
YNL032W,,YDR275W,YIL133C,YDR443C,YHR179W
YNL044W,,YDR276C,YIL142W,YDR451C,YHR216W
YNL073W,,YDR297W,YIL145C,YDR457W,YIL015W
YNL077W,,YDR304C,YIL162W,YDR463W,YIL070C
YNL081C,,YDR322C-A,YJL001W,YDR466W,YIL074C
YNL124W,,YDR328C,YJL002C,YDR470C,YIL078W
YNL142W,,YDR345C,YJL026W,YDR475C,YIL106W
YNL155W,,YDR363W-A,YJL068C,YDR490C,YIL116W
YNL172W,,YDR365C,YJL081C,YDR494W,YIL125W
YNL180C,,YDR367W,YJL097W,YDR498C,YIR012W
YNL185C,,YDR373W,YJL153C,YDR507C,YIR026C
YNL199C,,YDR374W-A,YJL183W,YEL011W,YJL008C
YNL234W,,YDR377W,YJL196C,YEL015W,YJL041W
YNL257C,,YDR378C,YJR009C,YEL020C,YJL048C
YNL288W,,YDR381W,YJR014W,YEL022W,YJL060W
YNL293W,,YDR382W,YJR065C,YEL032W,YJL062W
YNR017W,,YDR387C,YJR103W,YEL050C,YJL080C
YNR027W,,YDR391C,YJR105W,YEL053C,YJL110C
YNR039C,,YDR404C,YJR121W,YER008C,YJL123C
YNR041C,,YDR408C,YJR123W,YER017C,YJL130C
YOL032W,,YDR410C,YJR139C,YER064C,YJL138C
YOL059W,,YDR418W,YJR143C,YER068W,YJL167W
YOL067C,,YDR424C,YJR145C,YER070W,YJL186W
YOL081W,,YDR435C,YJR148W,YER073W,YJL198W
YOL148C,,YDR441C,YKL033W-A,YER075C,YJL200C
YOR052C,,YDR447C,YKL035W,YER082C,YJR007W
YOR086C,,YDR450W,YKL060C,YER095W,YJR015W
YOR092W,,YDR452W,YKL085W,YER105C,YJR016C
YOR137C,,YDR453C,YKL096W,YER114C,YJR045C
YOR150W,,YDR454C,YKL103C,YER122C,YJR064W
YOR181W,,YDR456W,YKL142W,YER124C,YJR069C
YOR191W,,YDR461C-A,YKL144C,YER125W,YJR070C
YOR213C,,YDR461W,YKL150W,YER132C,YJR072C
YOR275C,,YDR471W,YKL152C,YER141W,YJR075W
YOR297C,,YDR476C,YKL191W,YER147C,YJR088C
YOR301W,,YDR488C,YKL211C,YER151C,YJR125C
YOR324C,,YDR493W,YKL218C,YER155C,YJR132W
YOR355W,,YDR500C,YKR018C,YER157W,YKL008C
